hash_name,item_nameid
Sticker%20%7C%20BLAST.tv%20%7C%20Paris%202023,176371633
Sticker%20%7C%20Grayhound%20Gaming%20%7C%20Paris%202023,176371704
Sticker%20%7C%20The%20MongolZ%20%7C%20Paris%202023,176371672
Sticker%20%7C%20Team%20Liquid%20%7C%20Paris%202023,176371696
Sticker%20%7C%20ENCE%20%7C%20Paris%202023,176371674
Sticker%20%7C%20FaZe%20Clan%20%7C%20Paris%202023,176371659
Fracture%20Case,176185874
Sticker%20%7C%20Complexity%20Gaming%20%7C%20Paris%202023,176371655
Sticker%20%7C%20Fluxo%20%7C%20Paris%202023,176371641
Sticker%20%7C%20Heroic%20%7C%20Paris%202023,176371656
Recoil%20Case,176321160
Sticker%20%7C%20Bad%20News%20Eagles%20%7C%20Paris%202023,176371634
Sticker%20%7C%20Vitality%20%7C%20Paris%202023,176371627
Sticker%20%7C%20OG%20%7C%20Paris%202023,176371679
Sticker%20%7C%20FURIA%20%7C%20Paris%202023,176371628
Sticker%20%7C%20Into%20The%20Breach%20%7C%20Paris%202023,176371632
Kilowatt%20Case,176413986
Sticker%20%7C%20Fnatic%20%7C%20Paris%202023,176371636
Paris%202023%20Contenders%20Sticker%20Capsule,176373438
Sticker%20%7C%20PGL%20%7C%20Copenhagen%202024,176420459
Sticker%20%7C%20Ninjas%20in%20Pyjamas%20%7C%20Paris%202023,176371703
Sticker%20%7C%20GamerLegion%20%7C%20Paris%202023,176371638
Sticker%20%7C%20MOUZ%20%7C%20Paris%202023,176371625
Sticker%20%7C%209INE%20%7C%20Paris%202023,176371629
Sticker%20%7C%20paiN%20Gaming%20%7C%20Paris%202023,176371680
Revolution%20Case,176358765
Sticker%20%7C%20Vitality%20%7C%202020%20RMR,176222710
Sticker%20%7C%20Ninjas%20in%20Pyjamas%20%7C%202020%20RMR,176222723
Paris%202023%20Legends%20Sticker%20Capsule,176373442
Paris%202023%20Challengers%20Sticker%20Capsule,176373437
Sticker%20%7C%20BLAST.tv%20(Glitter)%20%7C%20Paris%202023,176371647
Sticker%20%7C%20Evil%20Geniuses%20%7C%202020%20RMR,176222713
Sticker%20%7C%20G2%20Esports%20%7C%20Paris%202023,176371660
Snakebite%20Case,176240926
AUG%20%7C%20Contractor%20(Field-Tested),2383366
Sticker%20%7C%20sh1ro%20(Champion)%20%7C%20Shanghai%202024,176481558
FAMAS%20%7C%20Colony%20(Field-Tested),2383804
Sticker%20%7C%20chopper%20(Champion)%20%7C%20Shanghai%202024,176481557
Dreams%20%26%20Nightmares%20Case,176288467
Gallery%20Case,176460428
SSG%2008%20%7C%20Blue%20Spruce%20(Field-Tested),2383797
Sticker%20%7C%20zont1x%20(Champion)%20%7C%20Shanghai%202024,176481555
Sticker%20%7C%20Monte%20%7C%20Paris%202023,176371693
MP7%20%7C%20Army%20Recon%20(Field-Tested),2383845
Sticker%20%7C%20ECSTATIC%20%7C%20Copenhagen%202024,176420460
Sticker%20%7C%20magixx%20(Champion)%20%7C%20Shanghai%202024,176481564
Sticker%20%7C%20Heroic%20%7C%202020%20RMR,176222743
Sticker%20%7C%20Wildcard%20%7C%20Shanghai%202024,176475065
Galil%20AR%20%7C%20Sage%20Spray%20(Field-Tested),2383378
Fever%20Case,176506126
SCAR-20%20%7C%20Contractor%20(Field-Tested),2383372
Tec-9%20%7C%20Groundwater%20(Field-Tested),2383742
Sticker%20%7C%20The%20MongolZ%20%7C%20Copenhagen%202024,176420473
Dual%20Berettas%20%7C%20Contractor%20(Field-Tested),2383738
Sticker%20%7C%20AMKAL%20ESPORTS%20%7C%20Copenhagen%202024,176420469
Nova%20%7C%20Sand%20Dune%20(Field-Tested),2383368
AUG%20%7C%20Storm%20(Field-Tested),3440943
Sticker%20%7C%20Legacy%20%7C%20Copenhagen%202024,176420484
Sticker%20%7C%20Spinx%20(Champion)%20%7C%20Paris%202023,176375819
SG%20553%20%7C%20Waves%20Perforated%20(Field-Tested),2383801
Sticker%20%7C%20HEROIC%20%7C%20Shanghai%202024,176474899
PP-Bizon%20%7C%20Sand%20Dashed%20(Field-Tested),2384376
G3SG1%20%7C%20Jungle%20Dashed%20(Field-Tested),2383381
Sticker%20%7C%20Twistzz%20%7C%20Paris%202023,176371965
P250%20%7C%20Boreal%20Forest%20(Field-Tested),2383386
Tec-9%20%7C%20Army%20Mesh%20(Field-Tested),2383750
Sticker%20%7C%20Magisk%20(Champion)%20%7C%20Paris%202023,176375821
Sticker%20%7C%20Gen.G%20%7C%202020%20RMR,176222740
Sticker%20%7C%20IEM%20%7C%20Rio%202022,176339489
G3SG1%20%7C%20Desert%20Storm%20(Field-Tested),2383829
Sticker%20%7C%20apEX%20(Champion)%20%7C%20Paris%202023,176375813
Sticker%20%7C%20dupreeh%20(Champion)%20%7C%20Paris%202023,176375814
UMP-45%20%7C%20Mudder%20(Field-Tested),176012376
Sticker%20%7C%20forZe%20eSports%20%7C%20Paris%202023,176371682
P90%20%7C%20Sand%20Spray%20(Field-Tested),2383383
Sticker%20%7C%20Passion%20UA%20%7C%20Shanghai%202024,176474946
P250%20%7C%20Sand%20Dune%20(Field-Tested),2383847
Sticker%20%7C%20Perfect%20World%20%7C%20Shanghai%202024,176474887
MP9%20%7C%20Sand%20Dashed%20(Field-Tested),2383825
AUG%20%7C%20Sweeper%20(Field-Tested),176012369
XM1014%20%7C%20Blue%20Spruce%20(Field-Tested),2383824
SCAR-20%20%7C%20Sand%20Mesh%20(Field-Tested),2383773
MP5-SD%20%7C%20Dirt%20Drop%20(Field-Tested),176012353
Sticker%20%7C%20Apeks%20%7C%20Paris%202023,176371643
UMP-45%20%7C%20Facility%20Dark%20(Field-Tested),176012379
Nova%20%7C%20Predator%20(Field-Tested),2383840
Sticker%20%7C%20YEKINDAR%20%7C%20Paris%202023,176371692
Sticker%20%7C%20BIG%20%7C%202020%20RMR,176222719
Sticker%20%7C%20Grayhound%20Gaming%20%7C%20Rio%202022,176339520
Sticker%20%7C%20ENCE%20(Glitter)%20%7C%20Paris%202023,176371635
Sticker%20%7C%20OG%20%7C%202020%20RMR,176222732
Sticker%20%7C%20aliStair%20%7C%20Paris%202023,176371882
Sticker%20%7C%20ESPADA%20%7C%202020%20RMR,176222750
Sticker%20%7C%20GamerLegion%20%7C%20Shanghai%202024,176475048
Sticker%20%7C%20FURIA%20%7C%202020%20RMR,176222725
Sticker%20%7C%20vexite%20%7C%20Paris%202023,176371844
Sticker%20%7C%20Liazz%20%7C%20Paris%202023,176371701
MP9%20%7C%20Slide%20(Field-Tested),176012366
Sticker%20%7C%20Vitality%20%7C%20Shanghai%202024,176474945
Sticker%20%7C%20EliGE%20%7C%20Paris%202023,176371804
